Source,CH1,CH2
Second,Volt,Volt
-0.01762400009,1.18000,0.13600
-0.01761999913,1.18000,0.13600
-0.01761600003,1.18000,0.13600
-0.01761199906,1.18000,0.13600
-0.01760799997,1.20000,0.13600
-0.01760400087,1.20000,0.13600
-0.01759999990,1.20000,0.14400
-0.01759600081,1.20000,0.13600
-0.01759199984,1.20000,0.14400
-0.01758800074,1.20000,0.14400
-0.01758399978,1.20000,0.14400
-0.01758000068,1.22000,0.14400
-0.01757599972,1.22000,0.13600
-0.01757200062,1.20000,0.14400
-0.01756799966,1.20000,0.14400
-0.01756400056,1.20000,0.13600
-0.01755999960,1.20000,0.14400
-0.01755600050,1.22000,0.14400
-0.01755199954,1.22000,0.14400
-0.01754800044,1.20000,0.14400
-0.01754399948,1.22000,0.13600
-0.01754000038,1.22000,0.14400
-0.01753599942,1.22000,0.14400
